Name,G,W,L,T,AB,H,Doubles,Triples,HR,RunsScored,SB,CS,BatterBB,BatterHBP,SacFlies,SacBunts,IP,RunsAllowed,ER,ERA,PitcherHBP,PO,A,E,DP,NCAA,WCWS,Conference,ConfNumBids,ConfTop16
Evansville,50,24,26,0,1301,320,70,6,33,176,51,14,,,,,338.1,193,140,2.9,,1015,383,66,9,No,No,MVC,1,0
Fairfield,50,27,23,0,1330,388,77,5,26,251,48,9,,,,,328.2,174,140,2.98,,986,302,38,11,No,No,MAAC,1,0
Fairleigh Dickinson,46,12,34,0,1159,298,46,5,24,149,79,35,,,,,282,303,241,5.98,,846,342,58,15,No,No,Northeast,1,0
FGCU,59,32,27,0,1540,443,64,9,20,240,59,8,,,,,393.1,222,158,2.81,,1180,510,100,16,No,No,Atlantic Sun,1,0
FIU,56,29,27,0,1473,479,69,10,35,274,64,17,,,,,364,220,163,3.13,,1092,438,69,19,No,No,C-USA,1,0
Fla. Atlantic,57,50,7,0,1488,454,61,12,26,310,99,21,,,,,390,83,65,1.17,,1170,380,37,5,Auto,No,C-USA,1,0
Florida,58,53,5,0,1483,465,49,9,56,352,68,13,274,65,17,14,381.2,62,49,0.9,,1145,369,25,28,At-large,No,SEC,11,8
Florida A&M,55,27,28,0,1420,419,64,15,31,255,97,20,,,,,345.1,262,185,3.75,,1038,371,86,8,Auto,No,MEAC,1,0
Florida St.,56,48,8,0,1419,471,75,10,56,423,139,16,245,50,28,23,360,146,120,2.33,,1080,391,52,23,Auto,Yes,ACC,4,1
Fordham,57,38,19,0,1516,453,74,8,38,309,78,18,,,,,371.1,227,181,3.41,18,1114,380,53,14,Auto,No,Atlantic 10,1,0
Fresno St.,52,41,10,1,1445,466,71,11,58,334,38,11,187,31,10,22,346.2,201,171,3.45,,1040,382,60,19,Auto,No,MWC,1,0
Furman,61,33,28,0,1650,496,98,11,59,292,26,10,,,,,411.1,263,200,3.4,,1234,439,70,12,No,No,Southern,1,0
Ga. Southern,57,30,27,0,1506,418,44,10,44,242,52,7,,,,,369.1,288,229,4.34,,1108,394,81,9,No,No,Sun Belt,2,1
Gardner-Webb,54,21,33,0,1363,337,60,10,29,198,31,5,,,,,351,272,217,4.33,,1053,438,74,13,No,No,Big South,1,0
George Mason,47,22,25,0,1262,331,59,8,6,177,26,6,,,,,312.1,165,125,2.8,17,937,366,57,6,No,No,Atlantic 10,1,0
George Washington,52,23,29,0,1325,355,81,21,12,209,81,19,,,,,342,258,197,4.03,,1026,380,69,8,No,No,Atlantic 10,1,0
Georgetown,44,9,35,0,1145,324,51,5,18,195,26,5,,,,,271.2,341,263,6.78,,815,359,56,15,No,No,Big East,1,0
Georgia,57,40,17,0,1485,526,79,7,58,382,59,8,195,28,12,49,356,161,121,2.38,,1068,304,50,9,At-large,Yes,SEC,11,8
Georgia St.,61,33,28,0,1667,486,66,7,32,292,54,7,,,,,394,270,212,3.77,,1182,471,69,25,No,No,Sun Belt,2,1
Georgia Tech,55,22,33,0,1415,323,50,5,32,162,45,10,,,,,375.2,258,226,4.21,,1127,520,63,20,No,No,ACC,4,1
Grambling,37,5,32,0,817,170,27,7,2,103,29,16,,,,,207.2,389,292,9.84,,623,219,95,7,No,No,SWAC,1,0
Grand Canyon,50,35,15,0,1408,478,94,8,35,314,37,7,134,27,11,39,324.1,197,148,3.19,45,973,458,72,26,No,No,WAC,1,0
Green Bay,54,21,33,0,1361,357,51,8,31,218,21,5,,,,,327,356,311,6.66,,981,387,53,15,No,No,Horizon,1,0
Hampton,48,20,28,0,1276,369,73,10,19,224,36,3,,,,,303.2,307,241,5.56,,911,359,61,22,No,No,MEAC,1,0
Hartford,51,6,45,0,1216,262,44,2,6,101,39,13,,,,,317.2,334,269,5.93,,953,391,100,18,No,No,America East,1,0
Harvard,46,29,17,0,1293,406,80,14,24,242,53,11,,,,,309,177,155,3.51,,927,356,39,13,No,No,Ivy,1,0
Hawaii,54,24,30,0,1394,330,51,4,25,164,23,8,,,,,367,219,157,2.99,,1097,511,84,16,No,No,MWC,1,0
Hofstra,46,24,22,0,1258,377,73,6,57,267,23,8,,,,,299,235,199,4.66,,897,354,51,15,No,No,CAA,1,1
Holy Cross,44,8,36,0,1125,255,34,7,10,117,50,14,,,,,288.1,242,198,4.81,,865,289,60,6,No,No,Patriot,1,0
Houston,56,27,29,0,1454,415,58,7,36,242,60,16,,,,,365.2,248,189,3.62,,1097,544,73,19,No,No,AAC,3,0
Houston Baptist,44,15,29,0,1101,292,52,4,27,149,29,7,,,,,274,232,191,4.88,,822,352,61,19,No,No,Southland,1,0
Howard,41,9,32,0,1044,278,60,6,20,153,27,8,,,,,250.1,327,244,6.82,,738,372,79,13,No,No,MEAC,1,0
Idaho St.,51,28,23,0,1415,462,54,14,21,284,83,21,,,,,335,243,195,4.07,,1005,476,55,6,No,No,Big Sky,1,0
Illinois,56,35,21,0,1495,457,79,19,38,296,87,24,,,,,365.2,208,167,3.2,,1097,463,57,26,At-large,No,Big Ten,6,1
Illinois St.,53,20,33,0,1357,350,56,3,34,196,24,6,,,,,341.1,253,198,4.06,,1024,494,67,19,No,No,MVC,1,0
