Name,G,W,L,T,AB,H,Doubles,Triples,HR,RunsScored,SB,CS,BatterBB,BatterHBP,SacFlies,SacBunts,IP,RunsAllowed,ER,ERA,PitcherK,PitcherBB,PitcherHBP,SHO,PO,A,E,DP,NCAA,WCWS,Conference,ConfNumBids,ConfTop16
North Texas,54,35,19,0,1391,384,78,7,37,279,66,10,207,45,11,26,352,193,138,2.74,227,114,19,9,1056,384,62,21,No,No,C-USA,1,0
Northern Colo.,53,14,39,0,1335,313,56,8,17,170,32,16,126,26,6,40,340,339,277,5.7,161,103,21,2,1020,421,60,17,No,No,Big Sky,1,0
Northern Ill.,52,27,25,0,1358,392,79,8,30,244,102,29,159,33,5,35,341.1,231,186,3.81,192,156,19,8,1021,516,53,21,No,No,MAC,1,0
Northern Ky.,55,22,33,0,1522,385,57,6,14,182,39,4,140,18,8,39,381,241,199,3.66,163,110,30,5,1143,486,71,23,No,No,Horizon,1,0
Northwestern,53,43,10,0,1341,362,71,8,52,279,42,16,228,36,7,21,352.1,118,96,1.91,415,101,46,16,1057,292,36,7,At-large,No,Big Ten,6,3
Northwestern St.,57,30,27,0,1475,385,61,10,35,220,59,8,171,39,14,38,374,203,151,2.83,226,136,33,9,1122,419,55,12,No,No,Southland,1,0
Notre Dame,52,36,16,0,1376,455,70,6,51,322,83,13,158,39,14,30,332,173,133,2.8,255,166,18,10,996,424,47,21,At-large,No,ACC,5,1
Oakland,51,18,33,0,1446,422,70,12,22,240,36,10,149,34,9,41,338,327,260,5.38,212,143,18,2,1013,321,64,11,No,No,Horizon,1,0
Ohio,55,34,21,0,1533,453,64,14,68,299,52,11,169,44,10,31,365.1,223,172,3.3,286,158,41,4,1096,297,66,8,No,No,MAC,1,0
Ohio St.,50,34,16,0,1374,411,73,11,53,262,63,6,150,34,10,18,330.1,138,106,2.25,261,193,27,13,991,433,46,28,At-large,No,Big Ten,6,3
Oklahoma,51,49,2,0,1325,483,88,16,97,407,46,12,199,44,24,28,317,59,52,1.15,460,67,9,23,951,208,16,12,Auto,Yes,Big 12,4,3
Oklahoma St.,53,39,14,0,1382,416,88,6,74,328,51,4,219,27,11,19,340,155,134,2.76,200,142,32,12,1019,488,48,31,At-large,Yes,Big 12,4,3
Ole Miss,54,37,17,0,1386,379,63,19,35,281,113,26,147,57,17,17,360,149,117,2.28,318,85,26,12,1080,450,66,21,At-large,No,SEC,13,6
Omaha,47,4,43,0,1157,249,52,1,19,119,19,6,101,27,6,21,295.1,357,287,6.8,132,215,35,0,886,379,60,20,No,No,Summit,1,0
Oregon,52,22,30,0,1311,347,55,5,42,225,48,14,195,20,13,20,332.1,285,242,5.1,289,197,41,5,997,298,42,11,No,No,Pac-12,5,3
Oregon St.,45,26,19,0,1165,300,53,5,27,183,52,8,109,26,8,13,291.1,184,147,3.53,291,126,20,9,874,327,72,15,No,No,Pac-12,5,3
Pacific,49,17,32,0,1194,291,51,6,19,148,25,6,117,19,11,20,314,263,190,4.24,235,188,37,6,942,405,80,16,No,No,WCC,1,0
Penn,39,22,17,0,1067,342,58,6,22,184,43,11,108,16,13,16,257.2,146,116,3.15,163,116,18,7,773,285,45,8,No,No,Ivy,1,0
Penn St.,56,24,32,0,1401,366,67,9,49,220,39,14,141,31,9,37,362.2,253,182,3.51,310,120,16,6,1088,322,87,8,No,No,Big Ten,6,3
Pittsburgh,54,13,41,0,1362,332,42,4,55,192,38,11,163,33,7,28,345.1,384,305,6.18,135,231,39,3,1036,426,68,25,No,No,ACC,5,1
Portland St.,51,20,31,0,1447,423,80,10,25,221,26,9,126,20,8,48,343.2,259,214,4.36,172,119,22,3,1031,373,48,17,No,No,Big Sky,1,0
Prairie View,47,30,17,0,1252,380,55,10,28,258,67,14,161,36,10,48,307.1,179,148,3.37,180,127,22,5,919,312,53,11,No,No,SWAC,1,0
Presbyterian,53,11,40,2,1385,351,42,3,15,173,75,10,125,13,15,26,331,322,263,5.56,114,197,40,0,993,421,72,11,No,No,Big South,1,0
