Team,G,W,L,T,AB,H,Doubles,Triples,HR,RunsScored,SB,CS,BatterBB,BatterHBP,SacFlies,SacBunts,IP,RunsAllowed,ER,ERA,SHO,PitcherK,PitcherBB,PitcherHBP,PO,A,E,DP,NCAA,SuperRegionals,WCWS,Conference,ConfNumBids,ConfTop16,,,,,,,,,,,,,,,,,,,
Holy Cross,50,21,29,0,1286,321,53,0,12,140,23,5,126,14,7,34,320.2,195,138,3.01,8,298,102,13,962,318,72,10,No,No,No,Patriot,1,0,,,,,,,,,,,,,,,,,,,
Houston,55,27,27,1,1386,351,51,4,52,236,61,20,153,36,12,29,370,254,199,3.76,7,232,183,48,"1,110",463,64,27,No,No,No,AAC,3,1,,,,,,,,,,,,,,,,,,,
Houston Baptist,48,19,29,0,1276,333,63,9,19,167,26,5,122,20,11,27,316.2,242,192,4.24,6,192,187,26,950,370,78,16,No,No,No,Southland,1,0,,,,,,,,,,,,,,,,,,,
Howard,53,31,22,0,1374,416,67,20,23,315,94,20,160,23,16,24,338.2,267,204,4.22,5,221,168,51,"1,016",396,83,19,Yes,No,No,MEAC,1,0,,,,,,,,,,,,,,,,,,,
Idaho St.,52,25,27,0,1412,412,66,10,41,269,66,6,129,45,16,34,339.2,257,212,4.37,4,320,173,36,"1,017",390,58,15,No,No,No,Big Sky,1,0,,,,,,,,,,,,,,,,,,,
Illinois,54,34,20,0,1481,456,93,7,28,266,76,22,117,27,13,38,364.1,167,125,2.4,12,415,106,31,"1,093",331,52,6,Yes,No,No,Big Ten,7,1,,,,,,,,,,,,,,,,,,,
Illinois St.,52,24,28,0,1350,353,59,12,37,216,28,8,145,23,10,11,333,229,185,3.89,7,261,192,25,999,409,53,11,No,No,No,MVC,1,0,,,,,,,,,,,,,,,,,,,
Incarnate Word,51,15,36,0,1326,324,53,8,29,181,35,10,135,19,9,20,325,304,250,5.38,0,244,177,43,975,308,73,8,No,No,No,Southland,1,0,,,,,,,,,,,,,,,,,,,
Indiana,49,27,22,0,1305,370,82,5,56,259,111,29,118,57,8,14,329.2,263,206,4.37,6,240,136,25,989,385,76,14,No,No,No,Big Ten,7,1,,,,,,,,,,,,,,,,,,,
Indiana St.,52,25,27,0,1368,386,70,7,38,238,43,13,132,24,8,25,334,222,180,3.77,6,198,134,34,"1,002",433,57,13,No,No,No,MVC,1,0,,,,,,,,,,,,,,,,,,,
Iona,49,23,26,0,1359,300,50,3,35,156,50,18,141,26,3,13,349,180,140,2.81,5,316,154,29,"1,047",356,49,11,No,No,No,MAAC,1,0,,,,,,,,,,,,,,,,,,,
Iowa,52,21,31,0,1324,342,53,8,25,205,37,14,142,33,12,24,335.2,291,241,5.03,5,203,146,17,"1,007",422,71,12,No,No,No,Big Ten,7,1,,,,,,,,,,,,,,,,,,,
Iowa St.,55,28,27,0,1417,382,82,13,44,289,56,8,177,37,22,5,346.2,250,197,3.98,3,289,174,33,"1,040",385,66,23,No,No,No,Big 12,3,2,,,,,,,,,,,,,,,,,,,
IUPUI,50,12,38,0,1259,278,42,6,13,136,37,9,116,19,6,29,313.1,271,202,4.51,3,217,216,30,940,343,73,9,No,No,No,Horizon,1,0,,,,,,,,,,,,,,,,,,,
Jackson St.,51,24,27,0,1292,339,54,26,19,216,83,12,129,43,14,34,331,264,181,3.83,3,125,79,26,993,443,95,11,No,No,No,SWAC,1,0,,,,,,,,,,,,,,,,,,,
Jacksonville,46,15,31,0,1133,285,46,6,21,148,58,8,112,28,5,19,292.2,299,242,5.79,2,128,176,26,878,308,77,9,No,No,No,ASUN,1,0,,,,,,,,,,,,,,,,,,,
Jacksonville St.,55,31,24,0,1472,409,68,7,46,234,55,9,139,47,11,32,365.2,195,170,3.25,13,236,112,19,"1,097",327,43,11,No,No,No,ASUN,1,0,,,,,,,,,,,,,,,,,,,
James Madison,42,21,21,0,1093,303,61,3,66,229,28,8,121,30,6,19,266.2,206,172,4.51,4,219,152,15,800,326,50,15,No,No,No,CAA,1,0,,,,,,,,,,,,,,,,,,,
Kansas,50,16,34,0,1292,343,70,7,46,231,24,9,144,23,2,22,317,318,247,5.45,2,191,173,39,951,376,77,13,No,No,No,Big 12,3,2,,,,,,,,,,,,,,,,,,,
Kennesaw St.,51,23,28,0,1351,375,60,5,40,213,55,15,122,21,11,24,329.2,224,172,3.65,3,256,121,31,989,332,67,11,No,No,No,ASUN,1,0,,,,,,,,,,,,,,,,,,,
Kent St.,48,20,28,0,1184,276,49,4,33,183,22,4,117,34,10,33,308.2,184,134,3.04,7,353,119,36,926,248,67,5,No,No,No,MAC,1,0,,,,,,,,,,,,,,,,,,,
Kentucky,52,35,17,0,1402,466,71,10,75,355,50,11,142,14,16,31,332,214,174,3.67,7,230,147,36,996,365,57,20,Yes,No,No,SEC,12,5,,,,,,,,,,,,,,,,,,,
La.-Monroe,54,27,27,0,1375,366,51,8,17,235,72,18,164,28,8,36,356.2,210,160,3.14,6,276,174,35,"1,070",391,75,15,No,No,No,Sun Belt,1,0,,,,,,,,,,,,,,,,,,,
Lafayette,47,10,37,0,1208,273,55,2,10,159,34,10,109,39,8,16,302,277,187,4.33,1,143,110,14,906,375,92,16,No,No,No,Patriot,1,0,,,,,,,,,,,,,,,,,,,
Lamar University,49,11,38,0,1233,261,43,6,24,157,18,4,150,37,7,19,314.1,298,240,5.34,1,173,144,36,943,388,65,13,No,No,No,WAC,1,0,,,,,,,,,,,,,,,,,,,
