Name,G,W,L,T,AB,H,Doubles,Triples,HR,RunsScored,SB,CS,BatterBB,BatterHBP,SacFlies,SacBunts,IP,RunsAllowed,ER,ERA,PitcherK,PitcherBB,PitcherHBP,PO,A,E,DP,NCAA,WCWS,Conference,ConfNumBids,ConfTop16
New Mexico,53,14,39,0,1285,313,51,7,33,182,29,10,,,,,326,372,300,6.44,141,205,,978,400,78,13,No,No,MWC,1,0
New Mexico St.,51,29,22,0,1385,437,78,13,58,297,33,7,140,51,8,21,330.2,242,189,4,210,85,,992,386,69,20,Auto,No,WAC,1,0
Niagara,49,16,33,0,1258,287,42,4,25,175,20,5,,,,,318.2,233,193,4.24,222,137,,956,352,54,11,No,No,MAAC,1,0
Nicholls St.,55,40,15,0,1513,470,83,12,35,281,44,8,,,,,370.2,154,120,2.27,284,125,13,1112,404,63,8,No,No,Southland,1,0
Norfolk St.,50,21,29,0,1310,351,56,4,38,215,57,14,,,,,330.1,243,169,3.58,161,80,11,991,466,107,13,No,No,MEAC,1,0
North Carolina,56,30,26,0,1454,416,57,9,32,225,116,31,,,,,374,210,173,3.24,253,148,,1121,410,55,17,No,No,ACC,2,1
North Dakota,53,26,27,0,1371,335,65,15,19,194,57,8,,,,,345,212,171,3.47,258,120,,1035,512,64,12,No,No,Summit,1,0
North Dakota St.,50,33,17,0,1263,328,70,0,23,187,49,16,,,,,335.2,133,110,2.29,396,85,,1007,244,31,7,Auto,No,Summit,1,0
North Florida,54,24,30,0,1308,315,51,5,7,133,69,22,,,,,363.1,166,125,2.41,256,123,,1090,434,74,17,No,No,Atlantic Sun,1,0
North Texas,52,25,27,0,1362,370,51,10,54,221,61,11,,,,,351,222,176,3.51,243,121,,1053,375,66,9,No,No,C-USA,3,0
Northern Colo.,54,28,26,0,1411,383,81,12,28,242,53,18,,,,,356,234,187,3.68,221,120,,1068,400,57,12,No,No,Big Sky,1,0
Northern Ill.,56,24,32,0,1447,392,64,20,30,233,57,20,,,,,361.1,232,180,3.49,174,161,,1084,494,71,22,No,No,MAC,1,0
Northern Ky.,46,23,22,1,1208,334,54,4,11,170,21,4,,,,,303,198,160,3.7,169,127,,909,366,67,12,No,No,Horizon,1,0
Northwestern,53,36,17,0,1413,419,78,11,46,324,113,15,200,59,18,25,347.1,229,181,3.65,266,190,,1042,353,63,17,At-large,No,Big Ten,5,0
